date,Team_1,Team_2,Winner,Margin,Ground
"Dec 29, 2016",New Zealand,Bangladesh,New Zealand,67 runs,Nelson
"Dec 31, 2016",New Zealand,Bangladesh,New Zealand,8 wickets,Nelson
"Jan 13, 2017",Australia,Pakistan,Australia,92 runs,Brisbane
"Jan 15, 2017",Australia,Pakistan,Pakistan,6 wickets,Melbourne
"Jan 15, 2017",India,England,India,3 wickets,Pune
"Jan 19, 2017",Australia,Pakistan,Australia,7 wickets,Perth
"Jan 19, 2017",India,England,India,15 runs,Cuttack
"Jan 22, 2017",Australia,Pakistan,Australia,86 runs,Sydney
"Jan 22, 2017",Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi
"Jan 22, 2017",India,England,England,5 runs,Eden Gardens
"Jan 24, 2017",U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC)
"Jan 26, 2017",Australia,Pakistan,Australia,57 runs,Adelaide
"Jan 26, 2017",U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC)
"Jan 28, 2017",South Africa,Sri Lanka,South Africa,8 wickets,Gqeberha
"Jan 30, 2017",New Zealand,Australia,New Zealand,6 runs,Auckland
"Feb 1, 2017",South Africa,Sri Lanka,South Africa,121 runs,Durban
"Feb 4, 2017",South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg
"Feb 5, 2017",New Zealand,Australia,New Zealand,24 runs,Hamilton
"Feb 7, 2017",South Africa,Sri Lanka,South Africa,40 runs,Cape Town
"Feb 10, 2017",South Africa,Sri Lanka,South Africa,88 runs,Centurion
"Feb 16, 2017",Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare
"Feb 19, 2017",New Zealand,South Africa,South Africa,4 wickets,Hamilton
"Feb 19, 2017",Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare
"Feb 21, 2017",Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare
"Feb 22, 2017",New Zealand,South Africa,New Zealand,6 runs,Christchurch
"Feb 24, 2017",Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare
"Feb 25, 2017",New Zealand,South Africa,South Africa,159 runs,Wellington
"Feb 26, 2017",Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare
"Mar 1, 2017",New Zealand,South Africa,New Zealand,7 wickets,Hamilton
"Mar 2, 2017",U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai
"Mar 3, 2017",West Indies,England,England,45 runs,North Sound
"Mar 4, 2017",New Zealand,South Africa,South Africa,6 wickets,Auckland
"Mar 4, 2017",U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai
"Mar 5, 2017",West Indies,England,England,4 wickets,North Sound
"Mar 9, 2017",West Indies,England,England,186 runs,Bridgetown
"Mar 15, 2017",Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida
"Mar 17, 2017",Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida
"Mar 19, 2017",Afghanistan,Ireland,Ireland,6 wickets,Greater Noida
"Mar 22, 2017",Afghanistan,Ireland,Ireland,3 wickets,Greater Noida
"Mar 24, 2017",Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida
"Mar 25, 2017",Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla
"Mar 28, 2017",Sri Lanka,Bangladesh,no result,-,Dambulla
"Mar 31, 2017",U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi
"Apr 1, 2017",Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC)
"Apr 2, 2017",U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi
"Apr 4, 2017",U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi
"Apr 7, 2017",West Indies,Pakistan,West Indies,4 wickets,Providence
"Apr 9, 2017",West Indies,Pakistan,Pakistan,74 runs,Providence
"Apr 11, 2017",West Indies,Pakistan,Pakistan,6 wickets,Providence
"May 5, 2017",England,Ireland,England,7 wickets,Bristol
"May 7, 2017",England,Ireland,England,85 runs,Lord's
"May 12, 2017",Ireland,Bangladesh,no result,-,Dublin (Malahide)
"May 14, 2017",Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide)
"May 17, 2017",Bangladesh,New Zealand,New Zealand,4 wickets,Dublin
"May 19, 2017",Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide)
"May 21, 2017",Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide)
"May 24, 2017",Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin
"May 24, 2017",England,South Africa,England,72 runs,Leeds
"May 27, 2017",England,South Africa,England,2 runs,Southampton
"May 29, 2017",England,South Africa,South Africa,7 wickets,Lord's
"Jun 1, 2017",England,Bangladesh,England,8 wickets,The Oval
"Jun 2, 2017",Australia,New Zealand,no result,-,Birmingham
"Jun 3, 2017",South Africa,Sri Lanka,South Africa,96 runs,The Oval
"Jun 4, 2017",India,Pakistan,India,124 runs,Birmingham
"Jun 5, 2017",Australia,Bangladesh,no result,-,The Oval
"Jun 6, 2017",England,New Zealand,England,87 runs,Cardiff
"Jun 7, 2017",Pakistan,South Africa,Pakistan,19 runs,Birmingham
"Jun 8, 2017",India,Sri Lanka,Sri Lanka,7 wickets,The Oval
"Jun 9, 2017",Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff
"Jun 9, 2017",West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet
"Jun 10, 2017",England,Australia,England,40 runs,Birmingham
"Jun 11, 2017",India,South Africa,India,8 wickets,The Oval
"Jun 11, 2017",West Indies,Afghanistan,West Indies,4 wickets,Gros Islet
"Jun 12, 2017",Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff
"Jun 14, 2017",England,Pakistan,Pakistan,8 wickets,Cardiff
"Jun 14, 2017",West Indies,Afghanistan,no result,-,Gros Islet
"Jun 15, 2017",Bangladesh,India,India,9 wickets,Birmingham
"Jun 15, 2017",Scotland,Zimbabwe,Scotland,26 runs,Edinburgh
"Jun 17, 2017",Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh
"Jun 18, 2017",India,Pakistan,Pakistan,180 runs,The Oval
"Jun 23, 2017",West Indies,India,no result,-,Port of Spain
"Jun 25, 2017",West Indies,India,India,105 runs,Port of Spain
"Jun 30, 2017",Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle
"Jun 30, 2017",West Indies,India,India,93 runs,North Sound
"Jul 2, 2017",Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle
"Jul 2, 2017",West Indies,India,West Indies,11 runs,North Sound
"Jul 6, 2017",Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota
"Jul 6, 2017",West Indies,India,India,8 wickets,Kingston
"Jul 8, 2017",Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota
"Jul 10, 2017",Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota
"Aug 20, 2017",Sri Lanka,India,India,9 wickets,Dambulla
"Aug 24, 2017",Sri Lanka,India,India,3 wickets,Pallekele
"Aug 27, 2017",Sri Lanka,India,India,6 wickets,Pallekele
"Aug 31, 2017",Sri Lanka,India,India,168 runs,Colombo (RPS)
"Sep 3, 2017",Sri Lanka,India,India,6 wickets,Colombo (RPS)
"Sep 17, 2017",India,Australia,India,26 runs,Chennai
"Sep 19, 2017",England,West Indies,England,7 wickets,Manchester
"Sep 21, 2017",India,Australia,India,50 runs,Eden Gardens
"Sep 21, 2017",England,West Indies,no result,-,Nottingham
"Sep 24, 2017",India,Australia,India,5 wickets,Indore
"Sep 24, 2017",England,West Indies,England,124 runs,Bristol
"Sep 27, 2017",England,West Indies,England,6 runs,The Oval
"Sep 28, 2017",India,Australia,Australia,21 runs,Bengaluru
"Sep 29, 2017",England,West Indies,England,9 wickets,Southampton
"Oct 1, 2017",India,Australia,India,7 wickets,Nagpur
"Oct 6, 2017",P.N.G.,Scotland,Scotland,101 runs,Port Moresby
"Oct 8, 2017",P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby
"Oct 13, 2017",Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC)
"Oct 15, 2017",South Africa,Bangladesh,South Africa,10 wickets,Kimberley
"Oct 16, 2017",Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi
"Oct 18, 2017",South Africa,Bangladesh,South Africa,104 runs,Paarl
"Oct 18, 2017",Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi
"Oct 20, 2017",Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah
"Oct 22, 2017",India,New Zealand,New Zealand,6 wickets,Wankhede
"Oct 22, 2017",South Africa,Bangladesh,South Africa,200 runs,East London
"Oct 23, 2017",Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah
"Oct 25, 2017",India,New Zealand,India,6 wickets,Pune
"Oct 29, 2017",India,New Zealand,India,6 runs,Kanpur
"Nov 24, 2017",P.N.G.,Scotland,Scotland,6 wickets,Dubai (DSC)
"Nov 25, 2017",P.N.G.,Scotland,Scotland,4 wickets,Dubai (DSC)
"Dec 5, 2017",Afghanistan,Ireland,Afghanistan,138 runs,Sharjah
"Dec 6, 2017",Hong Kong,P.N.G.,Hong Kong,23 runs,ICCA Dubai
"Dec 7, 2017",Afghanistan,Ireland,Ireland,51 runs,Sharjah
"Dec 8, 2017",Hong Kong,P.N.G.,Hong Kong,93 runs,ICCA Dubai
"Dec 10, 2017",India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala
"Dec 10, 2017",Afghanistan,Ireland,Ireland,5 wickets,Sharjah
"Dec 13, 2017",India,Sri Lanka,India,141 runs,Mohali
"Dec 17, 2017",India,Sri Lanka,India,8 wickets,Visakhapatnam
"Dec 20, 2017",New Zealand,West Indies,New Zealand,5 wickets,Whangarei
"Dec 23, 2017",New Zealand,West Indies,New Zealand,204 runs,Christchurch
"Dec 26, 2017",New Zealand,West Indies,New Zealand,66 runs,Christchurch
"Jan 6, 2018",New Zealand,Pakistan,New Zealand,61 runs,Wellington
"Jan 9, 2018",New Zealand,Pakistan,New Zealand,8 wickets,Nelson
"Jan 11, 2018",U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai
"Jan 13, 2018",New Zealand,Pakistan,New Zealand,183 runs,Dunedin
"Jan 13, 2018",U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai
"Jan 14, 2018",Australia,England,England,5 wickets,Melbourne
"Jan 15, 2018",Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur
"Jan 16, 2018",New Zealand,Pakistan,New Zealand,5 wickets,Hamilton
"Jan 16, 2018",Ireland,Scotland,Ireland,6 wickets,ICCA Dubai
"Jan 17, 2018",Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur
"Jan 18, 2018",Ireland,Scotland,Ireland,24 runs,ICCA Dubai
"Jan 19, 2018",New Zealand,Pakistan,New Zealand,15 runs,Wellington
"Jan 19, 2018",Australia,England,England,4 wickets,Brisbane
"Jan 19, 2018",Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur
"Jan 21, 2018",Australia,England,England,16 runs,Sydney
"Jan 21, 2018",U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai
"Jan 21, 2018",Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur
"Jan 23, 2018",U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai
"Jan 23, 2018",Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur
"Jan 25, 2018",Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur
"Jan 26, 2018",Australia,England,Australia,3 wickets,Adelaide
"Jan 27, 2018",Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur
"Jan 28, 2018",Australia,England,England,12 runs,Perth
"Feb 1, 2018",South Africa,India,India,6 wickets,Durban
"Feb 4, 2018",South Africa,India,India,9 wickets,Centurion
"Feb 7, 2018",South Africa,India,India,124 runs,Cape Town
"Feb 9, 2018",Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah
"Feb 10, 2018",South Africa,India,South Africa,5 wickets,Johannesburg
"Feb 11, 2018",Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah
"Feb 13, 2018",Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah
"Feb 13, 2018",South Africa,India,India,73 runs,Gqeberha
"Feb 16, 2018",Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah
"Feb 16, 2018",South Africa,India,India,8 wickets,Centurion
"Feb 19, 2018",Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah
"Feb 25, 2018",New Zealand,England,New Zealand,3 wickets,Hamilton
"Feb 28, 2018",New Zealand,England,England,6 wickets,Mount Maunganui
"Mar 3, 2018",New Zealand,England,England,4 runs,Wellington
"Mar 4, 2018",Afghanistan,Scotland,Scotland,7 wickets,Bulawayo
"Mar 4, 2018",P.N.G.,U.A.E.,U.A.E.,56 runs,Harare
"Mar 6, 2018",Hong Kong,Scotland,Scotland,4 wickets,Bulawayo
"Mar 6, 2018",Ireland,P.N.G.,Ireland,4 wickets,Harare
"Mar 6, 2018",U.A.E.,West Indies,West Indies,60 runs,Harare
"Mar 6, 2018",Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo
"Mar 7, 2018",New Zealand,England,New Zealand,5 wickets,Dunedin
"Mar 8, 2018",Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo
"Mar 8, 2018",P.N.G.,West Indies,West Indies,6 wickets,Harare
"Mar 10, 2018",New Zealand,England,England,7 wickets,Christchurch
"Mar 10, 2018",Ireland,West Indies,West Indies,52 runs,Harare
"Mar 10, 2018",Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo
"Mar 12, 2018",Ireland,U.A.E.,Ireland,226 runs,Harare
"Mar 12, 2018",Zimbabwe,Scotland,tied,-,Bulawayo
"Mar 15, 2018",Afghanistan,West Indies,Afghanistan,3 wickets,Harare
"Mar 15, 2018",Scotland,U.A.E.,Scotland,73 runs,Bulawayo
"Mar 16, 2018",Zimbabwe,Ireland,Zimbabwe,107 runs,Harare
"Mar 17, 2018",Hong Kong,P.N.G.,P.N.G.,58 runs,Harare
"Mar 18, 2018",Ireland,Scotland,Ireland,25 runs,Harare
"Mar 19, 2018",Zimbabwe,West Indies,West Indies,4 wickets,Harare
"Mar 20, 2018",Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare
"Mar 21, 2018",Scotland,West Indies,West Indies,5 runs,Harare
"Mar 22, 2018",Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare
"Mar 23, 2018",Afghanistan,Ireland,Afghanistan,5 wickets,Harare
"Mar 25, 2018",Afghanistan,West Indies,Afghanistan,7 wickets,Harare
"Jun 10, 2018",Scotland,England,Scotland,6 runs,Edinburgh
"Jun 13, 2018",England,Australia,England,3 wickets,The Oval
"Jun 16, 2018",England,Australia,England,38 runs,Cardiff
"Jun 19, 2018",England,Australia,England,242 runs,Nottingham
"Jun 21, 2018",England,Australia,England,6 wickets,Chester-le-Street
"Jun 24, 2018",England,Australia,England,1 wicket,Manchester
"Jul 12, 2018",England,India,India,8 wickets,Nottingham
"Jul 13, 2018",Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo
"Jul 14, 2018",England,India,England,86 runs,Lord's
"Jul 16, 2018",Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo
"Jul 17, 2018",England,India,England,8 wickets,Leeds
"Jul 18, 2018",Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo
"Jul 20, 2018",Zimbabwe,Pakistan,Pakistan,244 runs,Bulawayo
"Jul 22, 2018",Zimbabwe,Pakistan,Pakistan,131 runs,Bulawayo
"Jul 22, 2018",West Indies,Bangladesh,Bangladesh,48 runs,Providence
"Jul 25, 2018",West Indies,Bangladesh,West Indies,3 runs,Providence
"Jul 28, 2018",West Indies,Bangladesh,Bangladesh,18 runs,Basseterre
"Jul 29, 2018",Sri Lanka,South Africa,South Africa,5 wickets,Dambulla
"Aug 1, 2018",Netherlands,Nepal,Netherlands,55 runs,Amstelveen
"Aug 1, 2018",Sri Lanka,South Africa,South Africa,4 wickets,Dambulla
"Aug 3, 2018",Netherlands,Nepal,Nepal,1 run,Amstelveen
"Aug 5, 2018",Sri Lanka,South Africa,South Africa,78 runs,Pallekele
"Aug 8, 2018",Sri Lanka,South Africa,Sri Lanka,3 runs,Pallekele
"Aug 12, 2018",Sri Lanka,South Africa,Sri Lanka,178 runs,Colombo (RPS)
"Aug 27, 2018",Ireland,Afghanistan,Afghanistan,29 runs,Belfast
"Aug 29, 2018",Ireland,Afghanistan,Ireland,3 wickets,Belfast
"Aug 30, 2018",Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur
"Aug 31, 2018",Ireland,Afghanistan,Afghanistan,8 wickets,Belfast
"Sep 15, 2018",Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC)
"Sep 16, 2018",Hong Kong,Pakistan,Pakistan,8 wickets,Dubai (DSC)
"Sep 17, 2018",Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi
"Sep 18, 2018",Hong Kong,India,India,26 runs,Dubai (DSC)
"Sep 19, 2018",India,Pakistan,India,8 wickets,Dubai (DSC)
"Sep 20, 2018",Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi
"Sep 21, 2018",Bangladesh,India,India,7 wickets,Dubai (DSC)
"Sep 21, 2018",Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi
"Sep 23, 2018",India,Pakistan,India,9 wickets,Dubai (DSC)
"Sep 23, 2018",Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi
"Sep 25, 2018",Afghanistan,India,tied,-,Dubai (DSC)
"Sep 26, 2018",Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi
"Sep 28, 2018",Bangladesh,India,India,3 wickets,Dubai (DSC)
"Sep 30, 2018",South Africa,Zimbabwe,South Africa,5 wickets,Kimberley
"Oct 3, 2018",South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein
"Oct 6, 2018",South Africa,Zimbabwe,South Africa,4 wickets,Paarl
"Oct 10, 2018",Sri Lanka,England,no result,-,Dambulla
"Oct 13, 2018",Sri Lanka,England,England,31 runs,Dambulla
"Oct 17, 2018",Sri Lanka,England,England,7 wickets,Pallekele
"Oct 20, 2018",Sri Lanka,England,England,18 runs,Pallekele
"Oct 21, 2018",India,West Indies,India,8 wickets,Guwahati
"Oct 21, 2018",Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur
"Oct 23, 2018",Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS)
"Oct 24, 2018",India,West Indies,tied,-,Visakhapatnam
"Oct 24, 2018",Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram
"Oct 26, 2018",Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram
"Oct 27, 2018",India,West Indies,West Indies,43 runs,Pune
"Oct 29, 2018",India,West Indies,India,224 runs,Brabourne
"Nov 1, 2018",India,West Indies,India,9 wickets,Thiruvananthapuram
"Nov 4, 2018",Australia,South Africa,South Africa,6 wickets,Perth
"Nov 7, 2018",New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi
"Nov 9, 2018",Australia,South Africa,Australia,7 runs,Adelaide
"Nov 9, 2018",New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi
"Nov 11, 2018",Australia,South Africa,South Africa,40 runs,Hobart
"Nov 11, 2018",New Zealand,Pakistan,no result,-,Dubai (DSC)
"Dec 9, 2018",Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur
"Dec 11, 2018",Bangladesh,West Indies,West Indies,4 wickets,Mirpur
"Dec 14, 2018",Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet
"Jan 3, 2019",New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui
"Jan 5, 2019",New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui
"Jan 8, 2019",New Zealand,Sri Lanka,New Zealand,115 runs,Nelson
"Jan 12, 2019",Australia,India,Australia,34 runs,Sydney
"Jan 15, 2019",Australia,India,India,6 wickets,Adelaide
"Jan 18, 2019",Australia,India,India,7 wickets,Melbourne
"Jan 19, 2019",South Africa,Pakistan,Pakistan,5 wickets,Gqeberha
"Jan 22, 2019",South Africa,Pakistan,South Africa,5 wickets,Durban
"Jan 23, 2019",New Zealand,India,India,8 wickets,Napier
"Jan 25, 2019",U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai
"Jan 25, 2019",South Africa,Pakistan,South Africa,13 runs,Centurion
"Jan 26, 2019",New Zealand,India,India,90 runs,Mount Maunganui
"Jan 26, 2019",U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai
"Jan 27, 2019",South Africa,Pakistan,Pakistan,8 wickets,Johannesburg
"Jan 28, 2019",New Zealand,India,India,7 wickets,Mount Maunganui
"Jan 28, 2019",U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai
"Jan 30, 2019",South Africa,Pakistan,South Africa,7 wickets,Cape Town
"Jan 31, 2019",New Zealand,India,New Zealand,8 wickets,Hamilton
"Feb 3, 2019",New Zealand,India,India,35 runs,Wellington
"Feb 13, 2019",New Zealand,Bangladesh,New Zealand,8 wickets,Napier
"Feb 16, 2019",New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch
"Feb 20, 2019",New Zealand,Bangladesh,New Zealand,88 runs,Dunedin
"Feb 20, 2019",West Indies,England,England,6 wickets,Bridgetown
"Feb 22, 2019",West Indies,England,West Indies,26 runs,Bridgetown
"Feb 25, 2019",West Indies,England,no result,-,St George's
"Feb 27, 2019",West Indies,England,England,29 runs,St George's
"Feb 28, 2019",Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun
"Mar 2, 2019",Afghanistan,Ireland,no result,-,Dehradun
"Mar 2, 2019",India,Australia,India,6 wickets,Hyderabad
"Mar 2, 2019",West Indies,England,West Indies,7 wickets,Gros Islet
"Mar 3, 2019",South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg
"Mar 5, 2019",Afghanistan,Ireland,Ireland,4 wickets,Dehradun
"Mar 5, 2019",India,Australia,India,8 runs,Nagpur
"Mar 6, 2019",South Africa,Sri Lanka,South Africa,113 runs,Centurion
"Mar 8, 2019",Afghanistan,Ireland,Afghanistan,109 runs,Dehradun
"Mar 8, 2019",India,Australia,Australia,32 runs,Ranchi
"Mar 10, 2019",Afghanistan,Ireland,Ireland,5 wickets,Dehradun
"Mar 10, 2019",India,Australia,Australia,4 wickets,Mohali
"Mar 10, 2019",South Africa,Sri Lanka,South Africa,71 runs,Durban
"Mar 13, 2019",India,Australia,Australia,35 runs,Delhi
"Mar 13, 2019",South Africa,Sri Lanka,South Africa,6 wickets,Gqeberha
"Mar 16, 2019",South Africa,Sri Lanka,South Africa,41 runs,Cape Town
"Mar 22, 2019",Australia,Pakistan,Australia,8 wickets,Sharjah
"Mar 24, 2019",Australia,Pakistan,Australia,8 wickets,Sharjah
"Mar 27, 2019",Australia,Pakistan,Australia,80 runs,Abu Dhabi
"Mar 29, 2019",Australia,Pakistan,Australia,6 runs,Dubai (DSC)
"Mar 31, 2019",Australia,Pakistan,Australia,20 runs,Dubai (DSC)
"Apr 10, 2019",Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare
"Apr 12, 2019",Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare
"Apr 14, 2019",Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare
"Apr 16, 2019",Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare
"Apr 27, 2019",Namibia,Oman,Namibia,145 runs,Windhoek
"Apr 27, 2019",P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek
"May 3, 2019",Ireland,England,England,4 wickets,Dublin (Malahide)
"May 5, 2019",Ireland,West Indies,West Indies,196 runs,Dublin
"May 7, 2019",Bangladesh,West Indies,Bangladesh,8 wickets,Dublin
"May 8, 2019",England,Pakistan,no result,-,The Oval
"May 10, 2019",Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh
"May 11, 2019",Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide)
"May 11, 2019",England,Pakistan,England,12 runs,Southampton
"May 13, 2019",Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide)
"May 14, 2019",England,Pakistan,England,6 wickets,Bristol
"May 15, 2019",Ireland,Bangladesh,Bangladesh,6 wickets,Dublin
"May 17, 2019",Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide)
"May 17, 2019",England,Pakistan,England,3 wickets,Nottingham
"May 19, 2019",Ireland,Afghanistan,Ireland,72 runs,Belfast
"May 19, 2019",England,Pakistan,England,54 runs,Leeds
"May 21, 2019",Ireland,Afghanistan,Afghanistan,126 runs,Belfast
"May 21, 2019",Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh
"May 30, 2019",England,South Africa,England,104 runs,The Oval
"May 31, 2019",Pakistan,West Indies,West Indies,7 wickets,Nottingham
"Jun 1, 2019",New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff
"Jun 1, 2019",Afghanistan,Australia,Australia,7 wickets,Bristol
"Jun 2, 2019",Bangladesh,South Africa,Bangladesh,21 runs,The Oval
"Jun 3, 2019",England,Pakistan,Pakistan,14 runs,Nottingham
"Jun 4, 2019",Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff
"Jun 5, 2019",India,South Africa,India,6 wickets,Southampton
"Jun 5, 2019",Bangladesh,New Zealand,New Zealand,2 wickets,The Oval
"Jun 6, 2019",Australia,West Indies,Australia,15 runs,Nottingham
"Jun 8, 2019",England,Bangladesh,England,106 runs,Cardiff
"Jun 8, 2019",Afghanistan,New Zealand,New Zealand,7 wickets,Taunton
"Jun 9, 2019",Australia,India,India,36 runs,The Oval
"Jun 10, 2019",South Africa,West Indies,no result,-,Southampton
"Jun 12, 2019",Australia,Pakistan,Australia,41 runs,Taunton
"Jun 14, 2019",England,West Indies,England,8 wickets,Southampton
"Jun 15, 2019",Australia,Sri Lanka,Australia,87 runs,The Oval
"Jun 15, 2019",Afghanistan,South Africa,South Africa,9 wickets,Cardiff
"Jun 16, 2019",India,Pakistan,India,89 runs,Manchester
"Jun 17, 2019",Bangladesh,West Indies,Bangladesh,7 wickets,Taunton
"Jun 18, 2019",England,Afghanistan,England,150 runs,Manchester
"Jun 19, 2019",Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer
"Jun 19, 2019",New Zealand,South Africa,New Zealand,4 wickets,Birmingham
"Jun 20, 2019",Australia,Bangladesh,Australia,48 runs,Nottingham
"Jun 21, 2019",Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer
"Jun 21, 2019",England,Sri Lanka,Sri Lanka,20 runs,Leeds
"Jun 22, 2019",Afghanistan,India,India,11 runs,Southampton
"Jun 22, 2019",New Zealand,West Indies,New Zealand,5 runs,Manchester
"Jun 23, 2019",Pakistan,South Africa,Pakistan,49 runs,Lord's
"Jun 24, 2019",Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton
"Jun 25, 2019",England,Australia,Australia,64 runs,Lord's
"Jun 26, 2019",New Zealand,Pakistan,Pakistan,6 wickets,Birmingham
"Jun 27, 2019",India,West Indies,India,125 runs,Manchester
"Jun 28, 2019",South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street
"Jun 29, 2019",Afghanistan,Pakistan,Pakistan,3 wickets,Leeds
"Jun 29, 2019",Australia,New Zealand,Australia,86 runs,Lord's
"Jun 30, 2019",England,India,England,31 runs,Birmingham
"Jul 1, 2019",Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street
